Client,name,Species,Breed,Sex,Color,Date_of_Birth,Current_Weight_kg,Sterilized,Medical_Notes
Client_1,Pet_1,Canine,American Akita,Male,Brown,2025-10-01,24.5,No,None
Client_2,Pet_2,Canine,Bull Terrier,Female,White,2025-08-12,19.3,No,None
Client_3,Pet_3,Canine,Chihuahua,Male,Black,2024-05-03,1.9,No,None
Client_4,Pet_4,Canine,Pomeranian,Male,Brown,2025-12-12,2,No,None
Client_5,Pet_5,Canine,Schnauzer,Female,Black,2025-04-04,14.5,No,None
Client_6,Pet_6,Canine,Dalmatian,Male,Spotted,2025-06-10,24.8,No,None
Client_7,Pet_7,Canine,Dogo Argentino,Female,White,2026-01-01,7.9,No,None
Client_8,Pet_8,Feline,Abyssinian,Male,Brown,2025-07-11,2.9,No,None
Client_9,Pet_9,Feline,Bengal,Male,Brindle,2023-10-10,3,No,None
Client_10,Pet_10,Feline,Burmese,Female,Brown,2026-02-04,1.1,No,None
