Client,name,Species,Breed,Sex,Color,Date_of_Birth,Current_Weight_kg,Sterilized,Medical_Notes
Client_1,Pet_1,Canine,American Akita,Male,Brown,10/01/2025,24.5,No,None
Client_2,Pet_2,Canine,Bull Terrier,Female,White,8/12/2025,19.3,No,None
Client_3,Pet_3,Canine,Chihuahua,Male,Black,5/03/2024,1.9,No,None
Client_4,Pet_4,Canine,Pomeranian,Male,Brown,12/12/2025,2,No,None
Client_5,Pet_5,Canine,Schnauzer,Female,Black,4/04/2025,14.5,No,None
Client_6,Pet_6,Canine,Dalmatian,Male,Spotted,6/10/2025,24.8,No,None
Client_7,Pet_7,Canine,Dogo Argentino,Female,White,1/01/2026,7.9,No,None
Client_8,Pet_8,Feline,Abyssinian,Male,Brown,7/11/2025,2.9,No,None
Client_9,Pet_9,Feline,Bengal,Male,Brindle,10/10/2023,3,No,None
Client_10,Pet_10,Feline,Burmese,Female,Brown,2/04/2026,1.1,No,None
